,Date/Time,Lat,Lon,Base
99,5/1/2014 0:02:00,40.7521,-73.9914,B02512
100,5/1/2014 0:06:00,40.6965,-73.9715,B02512
101,5/1/2014 0:15:00,40.7464,-73.9838,B02512
102,5/1/2014 0:17:00,40.7463,-74.0011,B02512
103,5/1/2014 0:17:00,40.7594,-73.9734,B02512
104,5/1/2014 0:20:00,40.7685,-73.8625,B02512
105,5/1/2014 0:21:00,40.7637,-73.9962,B02512
106,5/1/2014 0:21:00,40.7252,-74.0023,B02512
107,5/1/2014 0:25:00,40.7607,-73.9625,B02512
108,5/1/2014 0:25:00,40.7212,-73.9879,B02512
109,5/1/2014 0:29:00,40.7255,-73.9986,B02512
110,5/1/2014 0:32:00,40.6467,-73.7901,B02512
111,5/1/2014 0:40:00,40.7613,-73.9788,B02512
112,5/1/2014 0:56:00,40.7807,-73.9497,B02512
113,5/1/2014 1:00:00,40.7585,-73.9708,B02512
114,5/1/2014 1:02:00,40.7163,-73.9895,B02512
115,5/1/2014 1:06:00,40.7265,-73.9958,B02512
116,5/1/2014 1:13:00,40.7559,-73.9867,B02512
117,5/1/2014 1:13:00,40.7671,-73.9956,B02512
118,5/1/2014 1:20:00,40.7707,-73.9944,B02512
119,5/1/2014 1:22:00,40.7607,-73.9784,B02512
120,5/1/2014 1:25:00,40.7382,-74.0096,B02512
121,5/1/2014 1:26:00,40.759,-73.9725,B02512
122,5/1/2014 1:27:00,40.7456,-73.9915,B02512
123,5/1/2014 1:28:00,40.7285,-74.0044,B02512
124,5/1/2014 1:32:00,40.7218,-73.9921,B02512
125,5/1/2014 1:45:00,40.744,-73.9877,B02512
126,5/1/2014 1:48:00,40.71,-74.0091,B02512
127,5/1/2014 2:00:00,40.7412,-74.0078,B02512
128,5/1/2014 2:13:00,40.7508,-74.0056,B02512
129,5/1/2014 2:18:00,40.7621,-73.976,B02512
130,5/1/2014 2:40:00,40.7575,-73.9688,B02512
131,5/1/2014 2:48:00,40.7549,-73.9864,B02512
132,5/1/2014 2:59:00,40.7596,-73.9726,B02512
133,5/1/2014 3:01:00,40.7284,-73.9997,B02512
134,5/1/2014 3:13:00,40.7246,-73.9936,B02512
135,5/1/2014 3:19:00,40.7156,-73.9898,B02512
136,5/1/2014 3:21:00,40.7467,-73.9846,B02512
137,5/1/2014 3:28:00,40.7144,-74.038,B02512
138,5/1/2014 3:28:00,40.7144,-74.038,B02512
139,5/1/2014 3:31:00,40.8276,-73.9454,B02512
140,5/1/2014 3:44:00,40.7562,-73.9931,B02512
141,5/1/2014 3:50:00,40.7299,-73.9868,B02512
142,5/1/2014 3:57:00,40.7762,-73.9499,B02512
143,5/1/2014 3:58:00,40.7538,-73.9774,B02512
144,5/1/2014 3:58:00,40.6819,-73.685,B02512
145,5/1/2014 4:04:00,40.758,-73.9892,B02512
146,5/1/2014 4:13:00,40.7469,-74.0078,B02512
147,5/1/2014 4:15:00,40.7663,-73.9916,B02512
148,5/1/2014 4:17:00,40.7196,-74.0085,B02512
149,5/1/2014 4:17:00,40.7196,-74.0085,B02512
150,5/1/2014 4:21:00,40.7852,-73.9712,B02512
151,5/1/2014 4:24:00,40.7553,-73.9723,B02512
152,5/1/2014 4:25:00,40.7753,-73.9904,B02512
153,5/1/2014 4:28:00,40.754,-73.9773,B02512
154,5/1/2014 4:28:00,40.754,-73.9773,B02512
